date,name,category,value
2019-01-01,Howe,School : CPS,75.5
2019-01-01,NWEA,Corporation : not-for-profit,44.25
2019-01-01,Sawyer,School : CPS,0
2019-01-01,Lincoln,School : CPS,0
2019-01-01,NWEA TFA,Corporation : not-for-profit,0
2019-01-01,NTA,School : CPS,7.25
2019-01-01,Gower,School : not-for-profit,463.75
2019-01-01,Miscellaneous,Miscellaneous,210.5
2019-01-01,FCP,School : not-for-profit,54.25
2019-01-01,Jacobs Boiler,Corporation,0
2019-01-01,Kaleidoscope,Corporation,70.25
2019-01-01,Poe,School : CPS,83
2019-01-01,Marquette,School : CPS,0
2019-01-01,Bennett,School : private,229.25
2019-01-01,Robert Crown,School : not-for-profit,128.25
2019-01-01,Mayer,School : CPS,154.75
2019-01-01,inQUEST,Corporation,0
2019-01-01,Bitter Pops,Corporation,0
2019-01-01,Rush Day School,School : not-for-profit,0
2019-01-01,Montessori,School - not-for-profit,93
2019-01-01,CCSD,School - not-for-profit,137.5
2019-01-01,Kids and Company,Corporation : daycare,0
2019-01-01,Friends of Bennett,School : private,0
2019-01-01,McDade,School : CPS,74
2019-01-01,Great Lakes,School : not-for-profit,22
2019-01-01,Winsight,Corporation,0
2019-01-01,TvS,Corporation,0
2019-04-01,Stagg,School : CPS,89.5
2019-04-01,Tarkington,School : CPS,101
2019-04-01,Greene,School : CPS,0
2019-04-01,Chalmers,School : CPS,169.5
2019-04-01,Howe,School : CPS,106.5
2019-04-01,NWEA,Corporation : not-for-profit,0
2019-04-01,Sawyer,School : CPS,0
2019-04-01,Lincoln,School : CPS,0
2019-04-01,NWEA TFA,Corporation : not-for-profit,0
2019-04-01,NTA,School : CPS,34
2019-04-01,Gower,School : not-for-profit,597
2019-04-01,Miscellaneous,Miscellaneous,233.25
2019-04-01,FCP,School : not-for-profit,47.5
2019-04-01,Jacobs Boiler,Corporation,34.25
2019-04-01,Kaleidoscope,Corporation,38.25
2019-04-01,Poe,School : CPS,83
2019-04-01,Marquette,School : CPS,0
2019-04-01,Bennett,School : private,196
2019-04-01,Robert Crown,School : not-for-profit,102.5
2019-04-01,Mayer,School : CPS,167
2019-04-01,inQUEST,Corporation,0
2019-04-01,Bitter Pops,Corporation,0
2019-04-01,Rush Day School,School : not-for-profit,0
2019-04-01,Montessori,School - not-for-profit,79
2019-04-01,CCSD,School - not-for-profit,163.75
2019-04-01,Kids and Company,Corporation : daycare,0
2019-04-01,Friends of Bennett,School : private,0
2019-04-01,McDade,School : CPS,73
2019-04-01,Great Lakes,School : not-for-profit,25.5
2019-04-01,Winsight,Corporation,1
2019-04-01,TvS,Corporation,0
2019-07-01,Stagg,School : CPS,51.5
2019-07-01,Tarkington,School : CPS,44
2019-07-01,Greene,School : CPS,0
2019-07-01,Chalmers,School : CPS,113.5
2019-07-01,Howe,School : CPS,54.5
2019-07-01,NWEA,Corporation : not-for-profit,59.5
2019-07-01,Sawyer,School : CPS,0
2019-07-01,Lincoln,School : CPS,0
2019-07-01,NWEA TFA,Corporation : not-for-profit,0
2019-07-01,NTA,School : CPS,4
2019-07-01,Gower,School : not-for-profit,800.75
2019-07-01,Miscellaneous,Miscellaneous,566
2019-07-01,FCP,School : not-for-profit,37
2019-07-01,Jacobs Boiler,Corporation,2.25
2019-07-01,Kaleidoscope,Corporation,95.75
2019-07-01,Poe,School : CPS,27.5
2019-07-01,Marquette,School : CPS,0
2019-07-01,Bennett,School : private,419.25
2019-07-01,Robert Crown,School : not-for-profit,115
2019-07-01,Mayer,School : CPS,80.25
2019-07-01,inQUEST,Corporation,0
2019-07-01,Bitter Pops,Corporation,0
2019-07-01,Rush Day School,School : not-for-profit,0
2019-07-01,Montessori,School - not-for-profit,173.5
2019-07-01,CCSD,School - not-for-profit,196.25
2019-07-01,Kids and Company,Corporation : daycare,0
2019-07-01,Friends of Bennett,School : private,0
2019-07-01,McDade,School : CPS,0
2019-07-01,Great Lakes,School : not-for-profit,0
2019-07-01,Winsight,Corporation,18.5
2019-07-01,TvS,Corporation,0
