name,value,color
Toyota,2.082E+11,#EB0A1E
Tesla,7.831E+11,#bbbbbb
Volkswagen,9.796E+10,#bbbbbb
BYD,8.754E+10,#bbbbbb
Mercedes-Benz,7.235E+10,#bbbbbb
General Motors,7.152E+10,#bbbbbb
BMW,5.388E+10,#bbbbbb
Ferrari,5.306E+10,#bbbbbb
Stellantis,5.143E+10,#bbbbbb
Hyundai,4.988E+10,#bbbbbb
