name,value,color
Apple,2.139E+12,#A2AAAD
Microsoft,1.889E+12,#7EBAF2
Alphabet (Google),1.421E+12,#4285F4
Amazon,1.558E+12,#FF9900
NVIDIA,1.110E+12,#76B900
Meta (Facebook),8.521E+11,#1877F2
Tesla,7.831E+11,#E31937
TSMC,5.892E+11,#26A8FF
Broadcom,4.102E+11,#CC092F
Oracle,3.456E+11,#FF0000
