name,value,color
Berkshire Hathaway,8.765E+11,#2E5E8E
Visa,5.432E+11,#bbbbbb
JPMorgan Chase,4.226E+11,#bbbbbb
Mastercard,4.018E+11,#bbbbbb
Bank of America,2.855E+11,#bbbbbb
Wells Fargo,1.324E+11,#bbbbbb
Morgan Stanley,1.287E+11,#bbbbbb
Goldman Sachs,1.254E+11,#bbbbbb
BlackRock,1.198E+11,#bbbbbb
Charles Schwab,1.102E+11,#bbbbbb
