name,value,color
Toyota,2.082E+11,#EB0A1E
Tesla,7.831E+11,#E31937
Volkswagen,9.796E+10,#0038FF
BYD,8.754E+10,#002FA7
Mercedes-Benz,7.235E+10,#242424
General Motors,7.152E+10,#0B62A6
BMW,5.388E+10,#0066B1
Ferrari,5.306E+10,#ED1C24
Stellantis,5.143E+10,#0033A0
Hyundai,4.988E+10,#002C5F
