name,value,color
Delta Air Lines,2.549E+10,#003366
Southwest Airlines,2.754E+10,#FF5A1F
United Airlines,1.284E+10,#002244
Ryanair,2.086E+10,#073590
Lufthansa,9.872E+09,#05164D
Air China,1.435E+10,#E8002D
Singapore Airlines,9.780E+09,#004B93
Qantas,9.543E+09,#E40000
Emirates,8.765E+09,#D71921
ANA,7.654E+09,#1348AA
