name,value,color
NVIDIA,1.110E+12,#76B900
TSMC,5.892E+11,#26A8FF
ASML,3.456E+11,#00A1E0
Broadcom,4.102E+11,#CC092F
AMD,2.589E+11,#ED1C24
Intel,1.987E+11,#0071C5
Qualcomm,1.876E+11,#A2D729
Texas Instruments,1.654E+11,#D40026
Applied Materials,1.432E+11,#00BAFF
Lam Research,1.219E+11,#00AEEF
