name,value,color
ExxonMobil,4.521E+11,#0033AA
Chevron,2.855E+11,#FA5000
Shell,2.734E+11,#FFCC00
Saudi Aramco,2.015E+11,#FF0000
TotalEnergies,1.694E+11,#002244
BP,1.344E+11,#00AEEF
ConocoPhillips,1.337E+11,#0033AA
Schlumberger,1.324E+11,#00B140
NextEra Energy,1.222E+11,#007236
Enbridge,1.219E+11,#00A175
