name,value,color
Apple,2.139E+12,#e377c2
JPMorgan Chase,4.226E+11,#bbbbbb
Bank of America ,2.8556E+11,#bbbbbb
ICBC,2.7341E+11,#bbbbbb
China Construction Bank,2.0152E+11,#bbbbbb
Agricultural Bank of China,1.6943E+11,#bbbbbb
Bank of China,1.3442E+11,#bbbbbb
Citigroup,1.3372E+11,#bbbbbb
Wells Fargo,1.3246E+11,#bbbbbb
National Australia Bank,1.2221E+11,#bbbbbb
Royal Bank Of Canada,1.2195E+11,#bbbbbb
