name,value,color
Zoom,1.1195E+11,#17becf
Southwest Airlines,27540000000,#bbbbbb
Delta Air Lines,25490000000,#bbbbbb
Ryanair,20860000000,#bbbbbb
Air China,14350000000,#bbbbbb
United Airlines Holdings,12840000000,#bbbbbb
China Southern Airlines,12330000000,#bbbbbb
International Consolidated Airlines,11020000000,#bbbbbb
China Eastern Airlines,10060000000,#bbbbbb
Singapore Airlines,9780000000,#bbbbbb
American Airlines,9620000000,#bbbbbb
