name,value,color
Tesla,7.8311E+11,#ff7f0e
Toyota,2.0821E+11,#bbbbbb
Volkswagen,97960000000,#bbbbbb
NIO,87710000000,#bbbbbb
BYD,87540000000,#bbbbbb
Daimler,72350000000,#bbbbbb
General Motors,71520000000,#bbbbbb
BMW,53880000000,#bbbbbb
Ferrari,53060000000,#bbbbbb
Volvo,51430000000,#bbbbbb
Hyundai,49880000000,#bbbbbb
