name,value,color
Walmart,4.521E+11,#007DC6
Costco,2.855E+11,#E31837
Home Depot,2.734E+11,#F96302
LVMH,2.015E+11,#0F2343
Nike,1.694E+11,#000000
Coca-Cola,1.344E+11,#ED1C16
PepsiCo,1.337E+11,#2151A1
Starbucks,1.324E+11,#036635
McDonald's,1.222E+11,#FFBC0D
L'Oréal,1.219E+11,#D61857
