name,value,color
Berkshire Hathaway,8.765E+11,#2E5E8E
Visa,5.432E+11,#1A1F71
JPMorgan Chase,4.226E+11,#007CFF
Mastercard,4.018E+11,#EB001B
Bank of America,2.855E+11,#012169
Wells Fargo,1.324E+11,#B31B1B
Morgan Stanley,1.287E+11,#6D6E71
Goldman Sachs,1.254E+11,#FFB81C
BlackRock,1.198E+11,#00B1F1
Charles Schwab,1.102E+11,#4D6BB6
