name,value,color
Amazon,1.558E+12,#bcbd22
Johnson & Johnson,4.2483E+11,#bbbbbb
Roche,3.0588E+11,#bbbbbb
Novartis,2.1922E+11,#bbbbbb
Merck,2.0996E+11,#bbbbbb
Pfizer,2.0393E+11,#bbbbbb
Eli Lilly,1.8647E+11,#bbbbbb
Novo Nordisk,1.6939E+11,#bbbbbb
Bristol-Myers Squibb,1.5108E+11,#bbbbbb
Amgen,1.4423E+11,#bbbbbb
Astrazeneca,1.3895E+11,#bbbbbb
